case,description,status,agents,agent_names,initial_guess,iterations,hit_iteration_cap,elapsed_sec,initial_total_cost,final_total_cost,cost_change,final_max_delta_x,min_pairwise_distance,min_static_obstacle_distance,arrived_count,arrival_steps,finite,max_abs_speed,max_abs_kappa,max_abs_accel,trajectory_csv,trajectory_plot,cost_convergence_plot,trajectory_convergence_plot,delta_x_convergence_plot,trajectory_per_agent_plot,animation_gif,trajectory_evolution_gif,trajectory_iterations_plotted,output_csv,output_trajectory_png,output_trajectory_gif,output_cost_convergence,output_trajectory_convergence,output_delta_x_convergence,output_initial_to_optimum,output_trajectory_evolution_gif
params_baseline,Baseline cost parameters.,ok,6,through_southbound;left_turn_northbound;follower_southbound;follower_left_turn;right_turn_southbound;right_turn_northbound,nominal,128,False,100.053,896423.663773,783924.484293,-112499.17948,0.000947,3.773695,3.163346,6,109;78;115;92;111;83,True,8.595789,0.227121,5.951845,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_baseline.csv,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_baseline.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_baseline_costs_per_iteration.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_baseline_trajectory_convergence.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_baseline_delta_x_per_iteration.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_baseline_trajectory_per_agent_per_iteration.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_baseline_animation.gif,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_baseline_trajectory_evolution.gif,20,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_trajectory_1.csv,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_trajectory_1.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_trajectory_1.gif,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_cost_convergence_1.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_trajectory_convergence_1.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_delta_x_convergence_1.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_initial_to_optimum_1.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_trajectory_evolution_1.gif
params_interaction_low_0p75,Pairwise and proximity interaction weights scaled down by 25 percent.,ok,6,through_southbound;left_turn_northbound;follower_southbound;follower_left_turn;right_turn_southbound;right_turn_northbound,nominal,119,False,152.508,861244.223466,761886.869261,-99357.354204,0.000976,3.544782,3.317222,6,109;78;115;91;109;82,True,8.58849,0.21861,5.919999,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_interaction_low_0p75.csv,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_interaction_low_0p75.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_interaction_low_0p75_costs_per_iteration.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_interaction_low_0p75_trajectory_convergence.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_interaction_low_0p75_delta_x_per_iteration.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_interaction_low_0p75_trajectory_per_agent_per_iteration.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_interaction_low_0p75_animation.gif,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_interaction_low_0p75_trajectory_evolution.gif,20,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_trajectory_2.csv,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_trajectory_2.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_trajectory_2.gif,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_cost_convergence_2.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_trajectory_convergence_2.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_delta_x_convergence_2.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_initial_to_optimum_2.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_trajectory_evolution_2.gif
params_interaction_high_1p25,Pairwise and proximity interaction weights scaled up by 25 percent.,ok,6,through_southbound;left_turn_northbound;follower_southbound;follower_left_turn;right_turn_southbound;right_turn_northbound,nominal,126,False,157.925,931603.10408,804983.050687,-126620.053393,0.001,3.964717,2.979814,6,109;79;116;94;113;85,True,8.596441,0.237602,5.97266,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_interaction_high_1p25.csv,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_interaction_high_1p25.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_interaction_high_1p25_costs_per_iteration.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_interaction_high_1p25_trajectory_convergence.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_interaction_high_1p25_delta_x_per_iteration.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_interaction_high_1p25_trajectory_per_agent_per_iteration.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_interaction_high_1p25_animation.gif,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_interaction_high_1p25_trajectory_evolution.gif,20,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_trajectory_3.csv,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_trajectory_3.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_trajectory_3.gif,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_cost_convergence_3.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_trajectory_convergence_3.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_delta_x_convergence_3.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_initial_to_optimum_3.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_trajectory_evolution_3.gif
params_control_low_0p75,Curvature and acceleration costs scaled down by 25 percent.,ok,6,through_southbound;left_turn_northbound;follower_southbound;follower_left_turn;right_turn_southbound;right_turn_northbound,nominal,130,False,162.529,888172.534158,778336.795771,-109835.738387,0.000982,3.846377,3.191823,6,109;77;116;91;110;82,True,8.831206,0.226818,6.88837,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_control_low_0p75.csv,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_control_low_0p75.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_control_low_0p75_costs_per_iteration.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_control_low_0p75_trajectory_convergence.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_control_low_0p75_delta_x_per_iteration.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_control_low_0p75_trajectory_per_agent_per_iteration.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_control_low_0p75_animation.gif,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_control_low_0p75_trajectory_evolution.gif,20,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_trajectory_4.csv,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_trajectory_4.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_trajectory_4.gif,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_cost_convergence_4.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_trajectory_convergence_4.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_delta_x_convergence_4.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_initial_to_optimum_4.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_trajectory_evolution_4.gif
params_control_high_1p25,Curvature and acceleration costs scaled up by 25 percent.,ok,6,through_southbound;left_turn_northbound;follower_southbound;follower_left_turn;right_turn_southbound;right_turn_northbound,nominal,123,False,154.044,904674.793387,789011.540652,-115663.252736,0.000955,3.728317,3.133684,6,109;79;115;93;112;84,True,8.395063,0.227136,5.283338,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_control_high_1p25.csv,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_control_high_1p25.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_control_high_1p25_costs_per_iteration.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_control_high_1p25_trajectory_convergence.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_control_high_1p25_delta_x_per_iteration.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_control_high_1p25_trajectory_per_agent_per_iteration.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_control_high_1p25_animation.gif,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_control_high_1p25_trajectory_evolution.gif,20,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_trajectory_5.csv,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_trajectory_5.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_trajectory_5.gif,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_cost_convergence_5.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_trajectory_convergence_5.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_delta_x_convergence_5.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_initial_to_optimum_5.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_trajectory_evolution_5.gif
params_obstacles_high_1p25,Static-obstacle repulsion scaled up by 25 percent.,ok,6,through_southbound;left_turn_northbound;follower_southbound;follower_left_turn;right_turn_southbound;right_turn_northbound,nominal,132,False,165.57,1006737.007093,888681.253616,-118055.753477,0.000985,3.798123,3.479936,6,108;77;114;92;113;84,True,8.740053,0.241345,6.288454,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_obstacles_high_1p25.csv,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_obstacles_high_1p25.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_obstacles_high_1p25_costs_per_iteration.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_obstacles_high_1p25_trajectory_convergence.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_obstacles_high_1p25_delta_x_per_iteration.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_obstacles_high_1p25_trajectory_per_agent_per_iteration.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_obstacles_high_1p25_animation.gif,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_obstacles_high_1p25_trajectory_evolution.gif,20,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_trajectory_6.csv,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_trajectory_6.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_trajectory_6.gif,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_cost_convergence_6.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_trajectory_convergence_6.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_delta_x_convergence_6.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_initial_to_optimum_6.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_trajectory_evolution_6.gif
params_speed_tracking_high_1p25,Speed-tracking cost scaled up by 25 percent.,ok,6,through_southbound;left_turn_northbound;follower_southbound;follower_left_turn;right_turn_southbound;right_turn_northbound,nominal,119,False,149.367,900542.137748,790215.419345,-110326.718402,0.000977,3.765159,3.180177,6,112;80;118;93;111;84,True,8.358944,0.210753,5.589584,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_speed_tracking_high_1p25.csv,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_speed_tracking_high_1p25.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_speed_tracking_high_1p25_costs_per_iteration.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_speed_tracking_high_1p25_trajectory_convergence.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_speed_tracking_high_1p25_delta_x_per_iteration.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_speed_tracking_high_1p25_trajectory_per_agent_per_iteration.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_speed_tracking_high_1p25_animation.gif,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/params_speed_tracking_high_1p25_trajectory_evolution.gif,20,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_trajectory_7.csv,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_trajectory_7.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_trajectory_7.gif,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_cost_convergence_7.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_trajectory_convergence_7.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_delta_x_convergence_7.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_initial_to_optimum_7.png,/Users/amirmohammadkhakpour/Downloads/ILQR_Multi_Agent_Intersection/outputs/sensitivity_analysis/switch_3_feedback/output_trajectory_evolution_7.gif
