movement_name,case_count,intersection_id,intersection_name,duration_s_mean,duration_s_std,duration_s_q25,duration_s_q50,duration_s_q75,path_length_m_mean,path_length_m_std,path_length_m_q25,path_length_m_q50,path_length_m_q75,displacement_m_mean,displacement_m_std,displacement_m_q25,displacement_m_q50,displacement_m_q75,mean_speed_mps_mean,mean_speed_mps_std,mean_speed_mps_q25,mean_speed_mps_q50,mean_speed_mps_q75,max_speed_mps_mean,max_speed_mps_std,max_speed_mps_q25,max_speed_mps_q50,max_speed_mps_q75,start_x_m_mean,start_x_m_std,start_x_m_q25,start_x_m_q50,start_x_m_q75,start_y_m_mean,start_y_m_std,start_y_m_q25,start_y_m_q50,start_y_m_q75,end_x_m_mean,end_x_m_std,end_x_m_q25,end_x_m_q50,end_x_m_q75,end_y_m_mean,end_y_m_std,end_y_m_q25,end_y_m_q50,end_y_m_q75
22 NB middle -> I EB,14,2,I ST. & 22 ST.,6.842857142857132,3.018683318864606,5.525000000000091,5.75,6.849999999999909,26.39201030545139,1.0052291783333684,25.680437877903167,25.97662087947257,26.721935323914636,24.255649682465553,0.5244401138508903,23.8706270389486,24.199553251705744,24.559500518389527,4.292711048134691,1.0811465127350306,3.76826558780687,4.538054482861751,4.7824273591418445,5.430752974386423,0.926124604452828,4.955928576195407,5.144606631384658,6.302829720273603,182.3084707159824,1.211368402607239,181.12109351451932,182.20601971859867,183.44075018160294,58.0315319876067,0.46129251582297764,57.59686836886022,58.08318403221533,58.4528660464542,168.78460582233467,0.1590248411714205,168.63004957530575,168.81852955227762,168.92947147931702,37.940126283922176,0.6359611804716643,37.728372895366675,37.94055282983895,38.23423635831367
22 NB middle -> I WB,6,2,I ST. & 22 ST.,5.833333333333504,0.908600878029289,5.650000000000318,5.850000000000136,6.500000000000568,25.893101033547115,0.5828218246062749,25.462820808939682,25.699325450199872,26.36309091207736,24.045418373605077,0.43806270323154217,23.889439495003863,24.063168218673212,24.236683004400977,4.562306655498891,0.7988737461899756,3.92928859469048,4.4682908875931675,4.705075439829442,5.833320805204722,0.8079203949809718,5.246166679841103,5.467811017297958,6.411072172398463,182.49365384847258,1.3500741172259694,181.20917524633188,182.4843542588497,183.65246358147877,58.021103828579065,0.5064851153904947,57.54284366258957,58.08038482463654,58.48636323048038,168.84142084981087,0.14036456764290128,168.822308482509,168.9161285898581,168.92947147931702,38.28277150749924,0.5278280487525012,37.770687583266046,38.18669648293388,38.756941720193055
23 SB middle -> H EB right,14,3,H ST. & 23 ST.,8.378571428571506,2.079553032823729,6.850000000000591,8.100000000000136,10.074999999999932,27.630280831530392,1.444748233962957,26.626017618739006,27.849508742442005,28.33610508220781,25.190625537922166,0.8677259423329056,24.757312877453586,25.394292198788584,25.788835575967667,3.5255330257746613,0.963349975292898,2.9072118139649885,3.343924498384028,4.0870367040380975,4.883194309743716,0.7650940428042649,4.412194748701913,4.926275765349942,5.296671184101017,38.91269096283292,0.7939094657772575,38.32175824861051,38.53062578744789,39.52956966539874,185.06703646664033,0.10575441393697585,184.9980893180628,185.02267569129646,185.0733880019322,58.80689915737163,0.16718000556085635,58.667471960828095,58.78018671933404,58.97440507184242,200.50958487126994,0.5621423958533034,200.10634568998532,200.41925044383444,200.92194147152543
I WB -> 23 SB middle,6,1,I ST. & 23 ST.,5.0999999999998336,0.8698658900465477,4.349999999999966,5.049999999999727,5.824999999999591,31.14974349137672,0.7459956503458565,30.414956460799544,31.157720771856745,31.88117712226638,29.116689128423076,0.4126749324937606,28.747717344078374,29.22013941554058,29.37307457507802,6.278818255181066,1.0123865043406008,5.2756393945647995,6.287211206502917,7.203972239525567,7.151408196557128,0.7715812705060153,6.403743472802521,7.21323840021001,7.71821604901022,64.30538704757545,0.1718560017488455,64.23756846840267,64.28361543307376,64.44736907643298,35.4833151102578,0.20644616448581166,35.367894451092354,35.423785295748864,35.49899067269902,40.42217475766201,0.585962229798248,40.03081443584073,40.40180274694971,40.64556707360267,52.13334391427146,0.1501671566545681,52.01753447627563,52.18012178314368,52.23172050951271
