case_id,vehicle_id,intersection_id,intersection_name,movement_name,n_points,start_time_s,end_time_s,duration_s,path_length_m,displacement_m,mean_speed_mps,max_speed_mps,start_x_m,start_y_m,end_x_m,end_y_m
1030_1_3_6_I_WB_->_23_SB_middle,1030,1,I ST. & 23 ST.,I WB -> 23 SB middle,46,2062.3,2066.8,4.5,30.833805380527732,29.075426689595975,6.851956751228263,7.5810261287201595,64.31216735037742,35.39560660612238,40.59448153528975,52.21380558100846
1030_2_0_2_22_NB_middle_->_I_EB,1030,2,I ST. & 22 ST.,22 NB middle -> I EB,59,1939.1,1944.9,5.800000000000182,26.79320380690497,24.734996335570724,4.6195178977421145,5.294483237893129,183.7095674160861,57.70211857382272,168.92919155855913,37.86879980890264
1030_2_0_3_22_NB_middle_->_I_WB,1030,2,I ST. & 22 ST.,22 NB middle -> I WB,59,1939.1,1944.9,5.800000000000182,26.79320380690497,24.734996335570724,4.6195178977421145,5.294483237893129,183.7095674160861,57.70211857382272,168.92919155855913,37.86879980890264
1030_3_6_8_23_SB_middle_->_H_EB_right,1030,3,H ST. & 23 ST.,23 SB middle -> H EB right,74,2085.6,2092.9,7.300000000000182,28.07348657818184,25.49636131905133,3.845683092901543,5.685331094810026,38.3211517536351,185.05113430168083,58.59599886064966,200.51059791782225
1209_2_0_2_22_NB_middle_->_I_EB,1209,2,I ST. & 22 ST.,22 NB middle -> I EB,58,2379.0,2384.7,5.699999999999818,25.86638783901431,23.789239490592905,4.537962778774589,4.979121949063782,181.00926517174668,58.59749177135834,168.84166966826228,38.15543866497073
1209_3_4_6_23_SB_middle_->_H_EB_right,1209,3,H ST. & 23 ST.,23 SB middle -> H EB right,41,2530.2,2534.2,4.0,24.67851102086901,23.328842800832955,6.169627755217247,6.432454497358282,40.3552425942225,185.3157527247958,58.57603117992095,199.88413526168907
1328_2_0_2_22_NB_middle_->_I_EB,1328,2,I ST. & 22 ST.,22 NB middle -> I EB,85,2817.5,2825.9,8.400000000000091,27.88484523217009,24.58882798965014,3.3196244324011537,4.305074075248927,181.2742568225388,58.4355109594657,168.5429009126861,37.39927939102026
1328_3_4_6_23_SB_middle_->_H_EB_right,1328,3,H ST. & 23 ST.,23 SB middle -> H EB right,75,2969.2,2976.6,7.400000000000091,27.22731475002518,25.333236515055503,3.6793668581115453,4.868036865065753,38.32936276253289,185.02295561205435,59.02633037242897,199.6314601242436
1524_2_0_2_22_NB_middle_->_I_EB,1524,2,I ST. & 22 ST.,22 NB middle -> I EB,47,3272.4,3277.0,4.599999999999909,25.618454557532786,23.91181602532446,5.56922925163769,6.523393361463875,183.06798903902745,57.56178496720605,168.96670094011492,38.25042510881101
1524_3_4_6_23_SB_middle_->_H_EB_right,1524,3,H ST. & 23 ST.,23 SB middle -> H EB right,92,3409.9,3419.0,9.099999999999909,28.36309807343336,25.405436860152616,3.1168239641135647,4.579500937337243,38.32357773353672,185.0223957705386,58.98098320965258,199.81116925080192
