iteration,total_cost,max_delta_x,accepted_alpha
1,956137.5560193821,0.0,0.5
2,908501.5033502841,3.5252733561066716,0.5
3,892077.8254512771,2.0170823317475217,0.5
4,880753.1519926359,1.858221991585137,0.5
5,871557.6217718695,1.7648602762100292,0.5
6,863307.2514630819,1.678539356281664,0.5
7,856231.6403078567,1.5752328482948714,0.5
8,850029.2996284439,1.4506553463043015,0.5
9,844801.2418630887,1.3116990632323302,0.5
10,840382.8172013202,1.1707374274855784,0.5
11,836702.4964728118,1.044348242518125,0.5
12,833583.8432807871,0.9431249374327005,0.5
13,830899.8000090362,0.8692542556614179,0.5
14,828554.0934213019,0.8156199321423144,0.5
15,826484.4692581041,0.7741806834354465,0.5
16,824637.475368617,0.7397596231836583,0.5
17,822978.2112016937,0.7093690383534514,0.5
18,821469.2120635394,0.6818847947265909,0.5
19,820102.0393536508,0.6562517457767346,0.5
20,818849.0514797277,0.6322161693031806,0.5
21,817704.1476792688,0.6094454527777249,0.5
22,816651.8057311216,0.5880830983117128,0.5
23,815686.8313585266,0.568331212317283,0.5
24,814794.4449366392,0.5498333166529157,0.5
25,813972.9776076495,0.5334590754753075,0.5
26,813205.3881066344,0.5185687982901092,0.5
27,812492.7886003767,0.505730345192605,0.5
28,811826.0690784644,0.4940736955650303,0.5
29,811192.896007041,0.4827166563557533,0.5
30,810595.3895460458,0.4713381456796347,0.5
31,810024.9731773719,0.4615017018830375,0.5
32,809474.598697663,0.4528367310004702,0.5
33,808940.8383319007,0.4449893145473373,0.5
34,808421.1818574185,0.43739822546392176,0.5
35,807917.2923590012,0.42974509785545323,0.5
36,807429.4033774395,0.42233199543763333,0.5
37,806954.3056221404,0.4160699077728365,0.5
38,806490.5145397808,0.41071216991305864,0.5
39,806044.6980631617,0.4051036513306339,0.5
40,805621.1729791085,0.39848034574953617,0.5
41,805219.5256403614,0.3907687140105596,0.5
42,804836.4452859783,0.3821516686281971,0.5
43,804473.2984606698,0.3728609103990279,0.5
44,804130.7510219752,0.3631374793229822,0.5
45,803810.6671353861,0.353082826479101,0.5
46,803507.2741369125,0.3429062032038995,0.5
47,803219.6910816272,0.33249252852939737,0.5
48,802946.1738134879,0.32193223882115035,0.5
49,802688.8424532213,0.31125130375877263,0.5
50,802450.1612990102,0.3004250744416938,0.5
51,802226.962256632,0.2898427125658488,0.5
52,802019.4619498976,0.2791938523823038,0.5
53,801825.9332684531,0.2705614526878347,0.5
54,801645.5409166581,0.2656828690923709,0.5
55,801477.1699323182,0.25993630908294674,0.5
56,801318.0713475079,0.25605741343672606,0.5
57,801170.1033737872,0.24854677374521814,0.5
58,801031.5968781686,0.24420832155476327,0.5
59,800903.4236190193,0.23644791478793842,0.5
60,800784.9165965974,0.2311690050343745,0.5
61,800675.6669439606,0.22348244010719845,0.5
62,800574.8340082639,0.2177526833335418,0.5
63,800481.5672415914,0.2100544591342395,0.5
64,800394.9121845986,0.2043898074140448,0.5
65,800314.5768082134,0.19626566515644475,0.5
66,800239.2997879619,0.19113434234010074,0.5
67,800169.5471004316,0.18267488919972544,0.5
68,800103.6476253166,0.1776521286283604,0.5
69,800042.5619982115,0.17005133834187722,0.5
70,799986.546887898,0.1631797625290976,0.5
71,799934.1310080132,0.15827982522656792,0.5
72,799885.8623882417,0.15053507855985235,0.5
73,799840.5679641316,0.14479019822695652,0.5
74,799798.1295548307,0.14002445301898872,0.5
75,799759.0241063469,0.1329148129799186,0.5
76,799722.4406704488,0.12720136690982495,0.5
77,799687.8597199728,0.1233776826144887,0.5
