step,time_s,through_southbound_active,through_southbound_x_m,through_southbound_y_m,through_southbound_speed_mps,through_southbound_heading_rad,through_southbound_kappa_radpm,through_southbound_a_mps2,through_southbound_distance_to_destination_m,left_turn_northbound_active,left_turn_northbound_x_m,left_turn_northbound_y_m,left_turn_northbound_speed_mps,left_turn_northbound_heading_rad,left_turn_northbound_kappa_radpm,left_turn_northbound_a_mps2,left_turn_northbound_distance_to_destination_m,distance_through_southbound_to_left_turn_northbound_m
0,0.0,True,5.5,34.0,6.0,-1.5707963267948966,0.0005865075694814807,2.3216906193207176,62.0,True,16.5,-7.0,6.0,1.5707963267948966,0.04222593350473526,4.750184190307325,40.91760012512953,42.44997055358225
1,0.1,True,5.5,33.4,6.232169061932072,-1.5704444222532077,0.0009103769945448531,1.9383535486089958,61.4,True,16.5,-6.4,6.475018419030732,1.5961318868977377,0.028758229397814406,3.9533275143093367,40.598152667332045,41.29213000076407
2,0.2,True,5.50021931285522,32.77678313239539,6.4260044167929715,-1.569877059919198,0.0010395710604032644,1.6109451027257917,60.77678313279108,True,16.483596933128275,-5.7527059596558345,6.8703511704616655,1.6147528934026936,0.020737839795873916,3.24673646355129,40.24665529077402,40.064399579227555
3,0.30000000000000004,True,5.500810034072367,32.134182962231336,6.587098927065551,-1.5692090310966258,0.0010877661185722028,1.331246035360834,60.134182967687096,True,16.453406952514136,-5.066334473414486,7.195024816816795,1.6290005175941364,0.015800444369184184,2.6220608447773484,39.87097979526578,38.77934858578273
4,0.4,True,5.501855601012416,31.475473899336908,6.7202235306016345,-1.5684925087933712,0.0011022212507599753,1.0922340390525163,59.475473928283755,True,16.41155253402966,-4.348050386997822,7.45723090129453,1.6403689765294378,0.012753247836476423,2.0697241861094455,39.477867236973296,37.44791555566077
5,0.5,True,5.5034038168372765,30.803453329681275,6.829446934506886,-1.5677517914748427,0.0011006049064841462,0.8879101176279646,58.80345342819564,True,16.359712447034887,-3.6041313507226405,7.664203319905474,1.6498793679152417,0.010950100126564867,1.580147231818443,39.07305392156934,36.079652445849156
6,0.6000000000000001,True,5.505483062865971,30.120511801402017,6.918237946269683,-1.5670001391943735,0.0010859852072603736,0.7131510942512088,58.12051206003686,True,16.299164754648263,-2.8401064151117956,7.822218043087319,1.6582717472895734,0.010021166397347353,1.144302694296761,38.66137736513042,34.68293409846258
7,0.7000000000000001,True,5.50810934946895,29.428692991719355,6.989553055694803,-1.566248828787378,0.0010531979373784048,0.5635845289838693,57.42869356426894,True,16.230826804350272,-2.060875463669877,7.936648312516995,1.6661105221501844,0.009745727978420627,0.7539746133391297,38.246868829961464,33.26514078015996
8,0.8,True,5.511287836373299,28.729744913243763,7.04591150859319,-1.5655126905012324,0.000991768071233436,0.43548311451527033,56.72974603624589,True,16.155293767946524,-1.2708130453905242,8.012045773850907,1.6738453637016026,0.009988037427878854,0.40187979778083555,37.832835599949114,31.83281860126026
9,0.9,True,5.515010622428731,28.025163597331083,7.089459820044717,-1.5648138994945366,0.0008876788441488796,0.32567628760400436,56.02516560820234,True,16.07287645513358,-0.47385874220149216,8.052233753628991,1.6818478250079127,0.010662951999210527,0.08172461909217238,37.421934935280966,30.391821354610737
10,1.0,True,5.519251814927535,27.316230301677344,7.122027448805118,-1.564184583144667,0.00072522657640738,0.2314767959446691,55.31623365180049,True,15.983638876591257,0.32640455122556666,8.060406215538208,1.6904338832080497,0.011716506655172642,-0.2117643047065608,37.01624122853181,28.947436684723314
11,1.1,True,5.523960682595354,26.60404312376649,7.145175128399584,-1.5636680747862894,0.0004897734893813917,0.15062056687866457,54.604048380834,True,15.887436024290386,1.1266835618237745,8.039229785067553,1.6998778635148244,0.013114344427428414,-0.48282656406458596,36.61730778326206,27.504499112080463
12,1.2000000000000002,True,5.529053900358441,25.889543763873274,7.160237185087451,-1.5633181230508018,0.00017195938965707352,0.08121829781843158,53.88955159590344,True,15.783952345353095,1.9239183350021505,7.9909471286610945,1.710420786348086,0.014834467701101254,-0.7346585514481635,36.22622458637915,26.0674920986678
13,1.3,True,5.534408421703438,25.17354006655862,7.168359014869294,-1.563194996049187,-0.00022655558128303454,0.021716402342108615,53.173551199345326,True,15.672741344360542,2.715236522199187,7.9174812735162785,1.722274931056219,0.016862859152412167,-0.969410018536991,35.8436734075864,24.640641074071517
14,1.4000000000000001,True,5.539857276008011,24.45672487444328,7.170530655103505,-1.563357399223533,-0.0006867482465991266,-0.029135725475599672,52.45674001646964,True,15.553266575921969,3.497918371274122,7.82054027166258,1.7356260682119358,0.01919137846263631,-1.188188385145154,35.469981388615864,23.227998963425353
15,1.5,True,5.545191332631162,23.739691648854862,7.167617082555945,-1.5638498341589908,-0.0011677003263925994,-0.07231731163610289,51.73971138472968,True,15.42494372385592,4.269372677791752,7.701721433148064,1.7506347630255124,0.021818658731649534,-1.3910413741248184,35.105173773548785,21.833525325674078
16,1.6,True,5.550170272516938,23.02294723375343,7.160385351392335,-1.5646867970396665,-0.0016077610417183097,-0.10857440167831652,51.02297189967114,True,15.287182556927172,5.0271239504561755,7.562617295735582,1.7674388861851211,0.02475543168748523,-1.5769496962821095,34.74902558745729,20.461159885754753
17,1.7000000000000002,True,5.554544904038304,22.30692206212649,7.149527911224503,-1.5658380159008325,-0.0019349256852133807,-0.13847230451184,50.30695163206995,True,15.139425878161694,5.768811059348993,7.404922326107371,1.7861604717694388,0.028035199993302132,-1.7438514714549256,34.40111040056949,19.11489102318668
18,1.8,True,5.55808984772591,21.591978059488497,7.135680680773319,-1.5672213964200903,-0.0020858834249788977,-0.1624648518439309,49.59201208141486,True,14.981180336847755,6.492196914346927,7.230537178961879,1.8069203196041677,0.03173124982729742,-1.8888269269433184,34.06084217625749,17.79882088783837
19,1.9000000000000001,True,5.560640798453384,20.878414551151643,7.119434195588926,-1.568709816225887,-0.0020266384038260805,-0.18097058749976097,48.87845216801233,True,14.812032087614226,7.195187347243942,7.041654486267547,1.829863717765288,0.03597412196216397,-2.00872776015848,33.72750435865729,16.517231835235616
20,2.0,True,5.562126274844986,20.166472681324407,7.10133713683895,-1.5701526681013163,-0.0017639033793918004,-0.19443401519776812,48.166512747289445,True,14.631639563073746,7.875854311426597,6.840781710251699,1.8551954514957287,0.04095599658000837,-2.10092896531895,33.40025976495361,15.274664356372206
21,2.1,True,5.562583358551842,19.456339114743468,7.0818937353191735,-1.5714052753587033,-0.0013409893566343576,-0.2033533265848831,47.45638038083287,True,14.4397003874914,8.53245334961498,6.630688813719804,1.883212554728694,0.0469181373207388,-2.163356190646381,33.078139622794936,14.076025254135681
22,2.2,True,5.562152107676579,18.748149872516354,7.061558402660685,-1.5723549497710911,-0.0008219378125842764,-0.20827357003086225,46.74819118840577,True,14.235900332665134,9.163425519442384,6.414353194655166,1.9143225115580131,0.05413036125708446,-2.1936047483202126,32.76001941276312,12.926749366909737
23,2.3000000000000003,True,5.561051477404795,18.041994889984274,7.040731045657599,-1.572935365957783,-0.0002736362058292539,-0.20975957089174663,46.04203536695822,True,14.01985892663731,9.767383613964968,6.194992719823144,1.949043637123735,0.06286743044949736,-2.1877387593376483,32.44459338511052,11.833030686701415
24,2.4000000000000004,True,5.559545438609072,17.33792339615711,7.019755088568424,-1.5731280258507427,0.00024647096265373417,-0.2083657966522179,45.337962498717005,True,13.791082653048639,10.343092537492733,5.976218843889379,1.9879899645185974,0.07337493246310041,-2.1393704362539827,32.13035517026424,10.802123108631326
25,2.5,True,5.557908644461003,16.635949795556815,6.998918508903202,-1.5729550092713154,0.0006951291341251258,-0.20461411749850608,44.63598735955744,True,13.548928421490542,10.889456193713654,5.762281800263981,2.0318404299241064,0.0858089123560772,-2.039360746784043,31.815585094851436,9.842691999290723
26,2.6,True,5.5563978013604975,15.93605957538239,6.978457097153352,-1.5724684940550246,0.0010424649707945917,-0.19898281143280544,43.93609577242326,True,13.292574048824902,11.405519514510377,5.558345725585577,2.0812859433210935,0.10013168634720002,-1.87642862562593,31.498340917606367,8.965166823601145
27,2.7,True,5.555230887155901,15.238214841305147,6.958558816010071,-1.5717410143476271,0.0012686320627103532,-0.19190543271603383,43.23825011623108,True,13.02099077625878,11.890488171346703,5.370702863022983,2.136942596401457,0.11595512815110111,-1.6390788158446414,31.176448363360233,8.181982924602599
28,2.8000000000000003,True,5.554573520863834,14.54235927020704,6.939368272738467,-1.5708582292652025,0.0013603225576303555,-0.18377647876079356,42.54239427376591,True,12.732915087853122,12.343761698235754,5.206794981438519,2.1992186502757884,0.13235533019468065,-1.3192764865862139,30.847490525372553,7.507490854862513
29,2.9000000000000004,True,5.554530564460017,13.848422444262747,6.920990624862388,-1.5699142513454913,0.0013086232148742626,-0.17496079057510847,41.84845797225908,True,12.426823637807447,12.764968493048313,5.074867332779898,2.2681333571782187,0.14775137244357875,-0.9177799558094242,30.50880139440592,6.957175040947384
30,3.0,True,5.555141047972428,13.156323651022785,6.903494545804877,-1.5690085544453292,0.0011089592743584755,-0.16580411594772973,41.156360589863986,True,12.100926490541106,13.153984988658495,4.9830893371989555,2.34311521851695,0.16002081769560628,-0.44960879306631707,30.15747912228503,6.545785860344476
31,3.1,True,5.556375234981428,12.465975299665295,6.886914134210104,-1.5682429850151238,0.000763342010631972,-0.15664262333738233,40.46601456926838,True,11.753207452118806,13.510920926529327,4.938128457892324,2.4228550215558333,0.16700515475192818,0.05375226464699297,29.790446625988448,6.284317058396562
32,3.2,True,5.558133697629954,11.77728613122358,6.871249871876366,-1.567717277926898,0.00028461854425962174,-0.14780917715759753,39.77732861181142,True,11.381545378505734,13.83606463276411,4.943503684357023,2.505324312285354,0.16730798215631068,0.5489387567429034,29.404590702274607,6.176624686943991
33,3.3000000000000003,True,5.560249385700946,11.090164401191997,6.856468954160607,-1.5675217094133203,-0.0002982999650254519,-0.13963394631247603,39.09021083213412,True,10.98393013401848,14.12980670350621,4.9983975600313135,2.58803307490656,0.16092573089145118,0.9917995420249391,28.99699022979673,6.217373897851753
