step,time_s,left_turn_northbound_active,left_turn_northbound_x_m,left_turn_northbound_y_m,left_turn_northbound_speed_mps,left_turn_northbound_heading_rad,left_turn_northbound_kappa_radpm,left_turn_northbound_a_mps2,left_turn_northbound_distance_to_destination_m,right_turn_southbound_active,right_turn_southbound_x_m,right_turn_southbound_y_m,right_turn_southbound_speed_mps,right_turn_southbound_heading_rad,right_turn_southbound_kappa_radpm,right_turn_southbound_a_mps2,right_turn_southbound_distance_to_destination_m,distance_left_turn_northbound_to_right_turn_southbound_m
0,0.0,True,16.5,-7.0,6.0,1.5707963267948966,0.06313136547970205,7.920167536561309,40.91760012512953,True,5.5,55.0,6.0,-1.5707963267948966,-0.02032343410826392,5.394267839012106,41.620307543313515,62.96824596572466
1,0.1,True,16.5,-6.4,6.792016753656131,1.6086751460827178,0.043716194105130925,6.5425946897328195,40.598152667332045,True,5.5,54.4,6.53942678390121,-1.582990387259855,-0.012211176917127997,4.510211698517487,41.0440007796511,61.78705366013175
2,0.2,True,16.47427879432748,-5.721285527339952,7.446276222629413,1.638367258359531,0.03458470808034928,5.329784456379396,40.222475959276366,True,5.492025981058794,53.74610594004688,6.990447953752959,-1.5909757969993372,-0.007366992763677097,3.741865002526561,40.41444527228682,60.47297350709638
3,0.30000000000000004,True,16.42400189191707,-4.978357180242484,7.979254668267353,1.6641199873040595,0.030306008574481486,4.267839341019349,39.80133995076116,True,5.477920584796559,53.047203469213095,7.364634454005615,-1.5961256549483531,-0.004261896915526733,3.074119644892874,39.74081469696611,59.04898292659867
4,0.4,True,16.349644609692227,-4.1839038806768025,8.406038602369287,1.6883019233435077,0.028701724701654885,3.3410729467826696,39.343617689724525,True,5.459268455120541,52.31097625939957,7.672046418494903,-1.599264386234704,-0.0021587910451312934,2.494074800296813,39.031061770799916,57.534961326394054
5,0.5,True,16.251096103313518,-3.349096692317867,8.740145897047555,1.7124287039231765,0.028788160294016818,2.5330816481199734,38.85649152590142,True,5.437430577732772,51.54408247954045,7.921453898524584,-1.600920620745312,-0.0006688870274181723,1.9907905613353714,38.29209817301622,55.948158876703644
6,0.6000000000000001,True,16.127720785965103,-2.483833706812333,8.993454061859552,1.7375899760309064,0.030087165793166098,1.8298509874786173,38.34560948964381,True,5.413571366138205,50.75229648781883,8.12053295465812,-1.6014504765204134,0.0004278923763268657,1.5548944507308424,37.529938921917164,54.30357774484198
7,0.7000000000000001,True,15.978410243595489,-1.5969692743509376,9.176439160607414,1.7646487303721454,0.0323565209992205,1.2206771556982083,37.815231742987166,True,5.388682461182754,49.940624696337196,8.276022399731204,-1.6011030051061124,0.0012633926676312265,1.178236240018192,36.74982098421624,52.6143129461282
8,0.8,True,15.80163480497217,-0.696513389266706,9.298506876177235,1.7943404950119717,0.03547019959149349,0.694834889604963,37.268365245448244,True,5.363604425744983,49.11340250142998,8.393846023733023,-1.6000574185044152,0.0019203677242916523,0.8536376423609955,35.95630314380749,50.89184806269024
9,0.9,True,15.595499004922667,0.2102006412859837,9.367990365137732,1.8273224844920597,0.039360700439969844,0.24772059145865097,36.706889250667615,True,5.339046620711274,48.27437721878749,8.479209787969122,-1.5984454914057502,0.0024528348508333713,0.574726326875621,35.15335201036777,49.146311006858284
10,1.0,True,15.35781255370453,1.11634499276673,9.392762424283598,1.8641955507407306,0.043977491769179804,-0.12509578292846268,36.131697091722124,True,5.315605300980169,47.42678032709122,8.536682420656684,-1.5963656812782043,0.0028972232269674505,0.3358271883272612,34.34441738782303,47.38673176492889
11,1.1,True,15.086166488904379,2.0154825100959375,9.380252845990752,1.90550256396111,0.04925853552604458,-0.4248504136399021,35.54282075718138,True,5.2937799334771025,46.573391130508064,8.57026513948941,-1.5938924138191672,0.0032787383742704187,0.1318850191205057,33.5324990519027,45.621245654584115
12,1.2000000000000002,True,14.778032946908295,2.9014538159767342,9.337767804626761,1.9517083157668618,0.05509587614312304,-0.65159062271791,34.9395801868819,True,5.273987734261294,45.71659318789751,8.58345364140146,-1.5910824481001156,0.003615094370306467,-0.041592541090018115,32.720206241756266,43.85730309584754
13,1.3,True,14.43088532396968,3.7683030552446186,9.27260874235497,2.003155565608558,0.06129119873788568,-0.8063324807358859,34.32074211253742,True,5.2565764303427045,44.85842443372574,8.579294387292459,-1.5879794486064338,0.003918737909160615,-0.1885852847263783,31.90981075776942,42.1018529114099
14,1.4000000000000001,True,14.042349936272643,4.6102371271261955,9.191975494281381,2.059988496133191,0.06749550271434883,-0.894721265363805,33.68470516411118,True,5.2418352497290055,44.000621647863866,8.56043585881982,-1.5846174479915007,0.004198207296471427,-0.31260537642292346,31.10329429087215,40.36150952875326
15,1.5,True,13.610407095778621,5.421624529925038,9.102503367745001,2.1220301968256408,0.0731216913920484,-0.9346276432711912,33.02973074983484,True,5.2300041442569976,43.14465982285472,8.529175321177528,-1.5810235995631534,0.00445895055123294,-0.41674362828331063,30.302390493560768,38.64270364947943
16,1.6,True,13.133673735641546,6.197047626647404,9.009040603417882,2.188589241040774,0.07708404748128904,-0.9638695850310851,32.354251818963306,True,5.221281276073521,42.29178689670189,8.487500958349196,-1.5772204824631608,0.004703840418579522,-0.503717717174087,29.508622222864748,36.95180858100781
17,1.7000000000000002,True,12.611836367492439,6.931427560430683,8.912653644914773,2.2580345724042465,0.07804155910536538,-0.989999302074394,31.657327540440143,True,5.215828810838273,41.44305431466993,8.437129186631788,-1.5732280974570994,0.004933440462686641,-0.5759192935235254,28.723334371249692,35.29523068350748
18,1.8,True,12.046413373079218,7.620376605956485,8.813653714707334,2.327590311025773,0.07636177704630684,-0.9518879598782989,30.939389102305626,True,5.213777096537486,40.5993438906573,8.379537257279436,-1.569065690005275,0.005146098623120647,-0.6354595798286895,27.947722705132204,33.67932899647617
19,1.9000000000000001,True,11.44127313300183,8.261165344829779,8.718464918719503,2.3948929370183567,0.07331729762054996,-0.8451174074071517,30.202656442798844,True,5.2152272893593175,39.7613914198082,8.315991299296567,-1.5647534974910677,0.0053379042691530385,-0.6842051914119751,27.18285908797934,32.10962300653635
