step,time_s,through_southbound_active,through_southbound_x_m,through_southbound_y_m,through_southbound_speed_mps,through_southbound_heading_rad,through_southbound_kappa_radpm,through_southbound_a_mps2,through_southbound_distance_to_destination_m,left_turn_northbound_active,left_turn_northbound_x_m,left_turn_northbound_y_m,left_turn_northbound_speed_mps,left_turn_northbound_heading_rad,left_turn_northbound_kappa_radpm,left_turn_northbound_a_mps2,left_turn_northbound_distance_to_destination_m,follower_southbound_active,follower_southbound_x_m,follower_southbound_y_m,follower_southbound_speed_mps,follower_southbound_heading_rad,follower_southbound_kappa_radpm,follower_southbound_a_mps2,follower_southbound_distance_to_destination_m,follower_left_turn_active,follower_left_turn_x_m,follower_left_turn_y_m,follower_left_turn_speed_mps,follower_left_turn_heading_rad,follower_left_turn_kappa_radpm,follower_left_turn_a_mps2,follower_left_turn_distance_to_destination_m,right_turn_southbound_active,right_turn_southbound_x_m,right_turn_southbound_y_m,right_turn_southbound_speed_mps,right_turn_southbound_heading_rad,right_turn_southbound_kappa_radpm,right_turn_southbound_a_mps2,right_turn_southbound_distance_to_destination_m,right_turn_northbound_active,right_turn_northbound_x_m,right_turn_northbound_y_m,right_turn_northbound_speed_mps,right_turn_northbound_heading_rad,right_turn_northbound_kappa_radpm,right_turn_northbound_a_mps2,right_turn_northbound_distance_to_destination_m,distance_through_southbound_to_left_turn_northbound_m,distance_through_southbound_to_follower_southbound_m,distance_through_southbound_to_follower_left_turn_m,distance_through_southbound_to_right_turn_southbound_m,distance_through_southbound_to_right_turn_northbound_m,distance_left_turn_northbound_to_follower_southbound_m,distance_left_turn_northbound_to_follower_left_turn_m,distance_left_turn_northbound_to_right_turn_southbound_m,distance_left_turn_northbound_to_right_turn_northbound_m,distance_follower_southbound_to_follower_left_turn_m,distance_follower_southbound_to_right_turn_southbound_m,distance_follower_southbound_to_right_turn_northbound_m,distance_follower_left_turn_to_right_turn_southbound_m,distance_follower_left_turn_to_right_turn_northbound_m,distance_right_turn_southbound_to_right_turn_northbound_m
0,0.0,True,5.5,34.0,6.0,-1.5707963267948966,0.0005866878871012812,2.3218971004569804,62.0,True,16.5,-5.0,6.0,1.5707963267948966,0.06375049595337354,5.40050419470611,39.87793876318083,True,5.5,46.0,6.0,-1.5707963267948966,-0.004210119534875446,1.9596978215540806,66.0,True,16.5,-13.0,6.0,1.5707963267948966,0.0103016025656674,1.2414766554522123,39.953097501945955,True,5.5,51.0,6.0,-1.5707963267948966,-0.022056518195241813,-3.523259606756934,37.79219496139381,True,16.5,-21.0,6.0,1.5707963267948966,-0.027647526651104162,-0.27917366329740656,38.81043674065006,40.52159917870962,12.0,48.27007354458868,17.0,56.089214649520635,52.172789842982326,8.0,57.0701322935211,16.0,60.01666435249463,5.0,67.89698078707183,64.93843238021688,8.0,72.83543093852057
1,0.1,True,5.5,33.4,6.232189710045698,-1.5704443140626358,0.0009104318358572785,1.938529709182104,61.4,True,16.5,-4.4,6.540050419470611,1.6090466243669206,0.044604251383987326,4.4735982493052155,39.58042445452044,True,5.5,45.4,6.195969782155408,-1.5733223985158218,-0.0014333593437910776,1.6406274637958678,65.4,True,16.5,-12.4,6.124147665545221,1.576977288334297,0.008201505388096646,1.4726876903465205,39.53492127221199,True,5.5,50.4,5.647674039324307,-1.5840302377120417,-0.02122433963319715,-2.6528987680172516,37.22109616870519,True,16.5,-20.4,5.97208263367026,1.554207810804234,-0.02239689801844891,-0.1292379112172166,38.254542213964605,39.36800731558558,12.0,47.102441550306075,17.0,54.9130221350091,51.00039215535504,8.0,55.89311227691655,15.999999999999998,58.837403069816055,5.0,66.71311715097714,63.75609774758803,7.999999999999998,71.64942428240438
2,0.2,True,5.500219381008249,32.776781067607885,6.426042680963908,-1.569876915670723,0.0010395668767648474,1.6110953482033428,60.77678106800383,True,16.474990212148413,-3.7464733322933217,6.987410244401133,1.6382180296643225,0.03371646577636889,3.6443086006786576,39.24226309129117,True,5.498434855259502,44.780404998619446,6.360032528534995,-1.5742105036339318,-0.00013325114433934468,1.3683356523818442,64.780405017527,True,16.496214711984244,-11.787596931842543,6.271416434579874,1.582000011341944,0.00668069099704466,1.6437429952592755,39.11022375663897,True,5.492526136649493,49.835282051010246,5.382384162522581,-1.5960170529068627,-0.019228409593080857,-1.9367540090576707,36.68208053770953,True,16.509906344475933,-19.80287390429409,5.959158842548538,1.5408321982338278,-0.017368852841881003,0.003990280518228878,37.698844095595994,38.136514087629294,12.00362406366034,45.90093353949075,17.0585027181974,53.71995275498487,49.752815880571596,8.04115161047351,54.69569477688171,16.056438536140053,57.62716377006361,5.054880505782775,65.51528385200925,62.597606794495526,8.015288666411978,70.50429370966775
3,0.30000000000000004,True,5.500810198437541,32.13417707111357,6.587152215784243,-1.5692088855587423,0.001087733958613462,1.331374125495711,60.13417707657155,True,16.427915585750746,-3.0493198350022737,7.351841104468998,1.6617771075014025,0.027304461769353305,2.906867571192119,38.87234644430132,True,5.4962634319026344,44.14440545258121,6.496866093773179,-1.574295251795178,0.0004493664492317338,1.1359980125215208,64.14440556141331,True,16.48918856183682,-11.160494648181185,6.435790734105801,1.5861897508732654,0.005708068731951869,1.7539693468995323,38.678228309339744,True,5.478952812041804,49.29721480838268,5.188708761616814,-1.6063665216332923,-0.016306765659481706,-1.3543657720785403,36.167185420950666,True,16.527759772749665,-19.207225521264203,5.959557870600361,1.5304818229340658,-0.012681203414634376,0.12417366763755408,37.142698004559016,36.84128237029911,12.010229242112606,44.667360100399065,17.16305165511843,52.51221988325229,48.443252629572974,8.111406242295251,53.479336897451944,16.158214165798555,56.386845789311955,5.152838432824678,64.30492250648011,61.45209454526636,8.04682331619992,69.38972892390586
4,0.4,True,5.50185586970398,31.475462679506162,6.720289628333814,-1.568492378643176,0.0011021753983807049,1.092343183368858,59.4754627084614,True,16.361120200314744,-2.317176370414864,7.64252786158821,1.6818509139385358,0.023548267087493777,2.2520687530579355,38.478190951037874,True,5.493990231821009,43.494722820086245,6.610465895025332,-1.5740033044304087,0.0006790878489407778,0.9377834464384162,63.49472310449818,True,16.479282067479026,-10.516991823710647,6.611187668795754,1.589863344458739,0.005222814779424064,1.8047334950517115,38.238545720389894,True,5.460500365580296,48.778672145385336,5.05327218440896,-1.6148276274183908,-0.012806571729462691,-0.8866303328012666,35.66989992325318,True,16.551778927168733,-18.611753959935417,5.971975237364116,1.5229243863722288,-0.008424273735881949,0.2340876463520342,36.58553124436817,35.49459220445169,12.019262714293106,43.403572677054264,17.30325888663208,51.29161793375448,47.083167068420224,8.200666783558523,52.24566248341586,16.295692976091292,55.11752856830138,5.284055454238679,63.08319228493696,60.310772799973684,8.095086771414069,68.29704232825496
5,0.5,True,5.50340418822101,30.803435500296363,6.829523946670699,-1.5677516848533417,0.001100551435405817,0.8880030561479323,58.803435598832245,True,16.27642077489058,-1.557631553775097,7.867734736894003,1.699847742669365,0.0214978460981923,1.6698678725678806,38.06610281875358,True,5.491870273826304,42.833679629915565,6.7042442396691735,-1.5735543957238938,0.000736997135554083,0.7687100984983279,62.83368015584726,True,16.46667726805368,-9.85599322843845,6.791661018300926,1.5933162453253522,0.005153311507538755,1.799363063814835,37.79116449721683,True,5.438257339835745,48.273834700752964,4.964609151128833,-1.621299136688204,-0.009095374062352172,-0.5160524868996493,35.184965633994,True,16.580357013018535,-18.015240611077186,5.995384001999319,1.5178934309578824,-0.004663498273350867,0.3357106945670187,36.02682634481317,34.10713337785466,12.030249658648756,42.11154831124176,17.470520665829316,50.05958470812542,45.68254631823039,8.300542392923024,50.99647846392071,16.460415338618862,53.820516668654435,5.440419243169495,61.85099540557079,59.16673847011103,8.160039272914826,67.21895484775577
6,0.6000000000000001,True,5.505483530513366,30.120486271058116,6.918324252285492,-1.5670000606150771,0.001085926191736159,0.7132301670767089,58.120486529737185,True,16.175168139262137,-0.7774005606201343,8.034721524150791,1.7167616777208798,0.02062422177193798,1.1505449291327345,37.64131355036769,True,5.490021199397623,42.16325775588763,6.781115249519006,-1.5730602948438246,0.0007151546920525543,0.6245214570345926,62.16325855681461,True,16.45138379552074,-9.17699933776419,6.971597324682409,1.5968161998134434,0.005430689690185947,1.7427172537292854,37.33642372882371,True,5.413195325377159,47.77800677125927,4.913003902438868,-1.6258146344184932,-0.005488964060011293,-0.22694077816467437,34.70819435568393,True,16.612059537995368,-17.416540984198743,6.028955071456021,1.5150974846637426,-0.0014420069427642137,0.43030467761429486,35.466110022363985,32.68824835186747,12.042781411264855,40.79344442170929,17.657761673774832,48.81726119803331,44.25011301433663,8.404139141266183,49.73376760322435,16.644875131098306,52.49736629971024,5.615274589949796,60.60901050763356,58.01477678644735,8.241108131650089,66.14940375159368
7,0.7000000000000001,True,5.5081099042429615,29.428658831042437,6.9896472689931635,-1.5662487816642292,0.001053133486578395,0.5636517365419544,57.4286594036707,True,16.058305056944075,0.017527435929013624,8.149776017064065,1.7333326655798649,0.020616715042867714,0.6852204916103486,37.20809895016141,True,5.488485977882999,41.4851479687827,6.843567395222466,-1.5725753402050204,0.0006609426744843762,0.5015802614219477,61.485149046869914,True,16.433245834638683,-8.480075592329849,7.145869050055338,1.6006022579849715,0.00599675799556907,1.6401606044726822,36.8749700815407,True,5.386178444266492,47.28744978008613,4.890309824622401,-1.6285113646032114,-0.0022128561721055083,-0.005487123636637328,34.23630343460378,True,16.645622759181357,-16.81458043505954,6.071985539217451,1.5142281051566773,0.0012170099272046024,0.5184807218956378,34.90294649783318,31.24614004482321,12.05650510831952,39.45162532367196,17.859207189642458,47.565548145857356,42.79351151776204,8.505870785090284,48.45967235609074,16.842351304492972,51.14989084870081,5.803203696312043,59.357729346045325,56.85116167758126,8.33721026072648,65.08337240789015
8,0.8,True,5.51128846692772,28.729701331484208,7.046012442647359,-1.5655126785043945,0.0009916975364080405,0.4355401679051559,56.72970245461267,True,15.926424049493507,0.8217636519482561,8.218298066225099,1.7501348265605656,0.02128361435313925,0.26606927779306644,36.76988760830344,True,5.4872684987082785,40.80079231221663,6.89372542136466,-1.5721230196312992,0.0005987357095164367,0.39677780222695397,60.80079364518547,True,16.411950060017016,-7.765806081018711,7.309885110502606,1.6048874627210923,0.0068074792748923285,1.4982928676132472,36.40770293126785,True,5.357969669404255,46.79923305891739,4.889761112258737,-1.6295935198311038,0.0006039146400228437,0.16025411969125844,33.76676913988739,True,16.679952585687303,-16.20835312876533,6.123833611407015,1.5149670718245842,0.0033081903855667716,0.6002503417898393,34.33693438497212,29.788051878699463,12.071114879081918,38.08866608931202,18.070182165722304,46.30515950593434,41.31947121191231,8.601284173044466,47.176476352657055,17.046779250626816,49.780148118560355,5.999834129285521,58.09749427455497,55.67345847725655,8.446799749442437,64.01674167243183
9,0.9,True,5.515011314765656,28.02510992235166,7.089566459437875,-1.564813927186307,0.0008876014662383055,0.3257246535049246,56.02511193341034,True,15.779827099322365,1.6304128745743038,8.244904994004406,1.767626335228634,0.02249976558147055,-0.11362218099005454,36.32936248772419,True,5.486353913363309,40.111420376767164,6.933403201587356,-1.571710267673162,0.0005408575390997574,0.3074565888837334,60.11142192568813,True,16.387034658117162,-7.035242308281761,7.45971439726393,1.6098636518602514,0.007833260485154711,1.3224395457958882,35.935715385474595,True,5.329235809301127,46.31110192629711,4.905786524227863,-1.629298219998913,0.0029141778309702622,0.2804860395852446,33.29769793636968,True,16.714123734663893,-15.59692389035781,6.183858645585999,1.516992952572191,0.004842113614696988,0.6750669099076951,33.767706647340475,28.320425055687835,12.086344428617307,36.707345179329735,18.286935667486436,45.03667342234201,39.833949447850145,8.68690282941036,45.88658662885931,17.252653193500183,48.39041891776545,6.201672146623534,56.828535403832326,54.48033919291494,8.567927332608303,62.946162183160006
